SIGLA	DISCIPLINA	RECOMENDAÇÃO
NHZ2067-18	Temas de Filosofia Contemporânea I	História da filosofia Moderna: perspectivas racionalistas
NHZ2144-18	Temas de Filosofia Contemporânea II	História da filosofia Moderna: perspectivas racionalistas; História da filosofia Moderna: o iluminismo e seus desdobramentos
NHZ2068-18	Temas de Filosofia Medieval I	Não há
NHZ2141-18	Temas de Filosofia Medieval II	Não há
NHZ2069-18	Temas de Filosofia Moderna I	Não há
NHZ2143-18	Temas de Filosofia Moderna II	Não há
BHP0202-19	Temas e Problemas em Filosofia	Não há
BHS0012-23	Temas filosóficos em debate	Não há
ESTG019-17	Tempos, Métodos e Arranjos Físicos	Organização do Trabalho
MCLM003-23	Tendências em Educação Matemática	Não há
MCTB023-17	Teoria Aritmética dos Números	Matemática Discreta
MCZB029-17	Teoria Aritmética dos Números II	Teoria Aritmética dos Números
MCZB030-17	Teoria Axiomática de Conjuntos	Álgebra Linear Avançada ou Análise Real I
MCZB038-17	Teoria Básica de Categorias	Teoria de Anéis; Teoria de Grupos
NHZ3053-15	Teoria Clássica dos Campos	Mecânica Clássica II; Eletromagnetismo II; Teoria da Relatividade
NHZ2071-18	Teoria Crítica	Não há
ESZS011-17	Teoria da Elasticidade	Mecânica dos Sólidos I
LHE0004-19	Teoria da História I	Não há
ESTI008-17	Teoria da Informação e Códigos	Comunicação Digital
MCTB020-17	Teoria da Medida e Integração	Análise Real II
MCZB033-17	Teoria da Recursão e Computabilidade	Linguagens Formais e Automata ou Teoria Aritmética dos Números; Matemática Discreta
MCBM028-23	Teoria da Regularidade	Análise no Rn I
NHZ2109-18	Teoria das Ciências Humanas	Não há
MCZB034-17	Teoria das Distribuições	Álgebra Linear; Introdução às Equações Diferenciais Ordinárias
MCZB032-13	Teoria das Filas	Cálculo de Probabilidade
ESTA022-17	Teoria de Acionamentos Elétricos	Máquinas Elétricas
MCBM009-23	Teoria de Anéis	Teoria Aritmética dos Números
ESZA006-17	Teoria de Controle Ótimo	Modelagem e Controle
MCBM010-23	Teoria de Corpos	Álgebra Linear Avançada; Teoria de Anéis; Teoria de Grupos
ESTI020-17	Teoria de Filas e Análise de Desempenho	Sinais Aleatórios; Redes de Computadores
MCBM011-23	Teoria de Grupos	Teoria Aritmética dos Números
NHZ3056-15	Teoria de Grupos em Física	Mecânica Quântica I; Cálculo Vetorial e Tensorial
NHZ4067-15	Teoria de Grupos: Moléculas e Sólidos	Estrutura da Matéria
MCBM029-23	Teoria de Módulos	Teoria de Anéis; Teoria de Grupos
MCBM030-23	Teoria de Semigrupos	Teoria de Grupos
NHZ5015-09	Teoria do Conhecimento Científico	Não há
NHH2073-18	Teoria do Conhecimento: Empirismo e Racionalismo	Não há
ESTU019-17	Teoria do Planejamento Urbano e Ambiental	Não há
MCZB031-17	Teoria dos Jogos	Álgebra Linear;  Funções de Várias Variáveis] ou Economia Matemática
ESHP029-14	Teoria e Gestão de Organizações Públicas	Não há
ESZR034-21	Teoria e Prática da Cooperação Internacional	Não há
NHLP004-22	Teoria Eletromagnética	Fenômenos Eletromagnéticos; Geometria Analítica; Funções de uma Variável; Funções de Várias Variáveis; Introdução às Equações Diferenciais Ordinárias
MCZA048-17	Teoria Espectral de Grafos	Álgebra Linear; Teoria dos Grafos
ESHR022-21	Teorias Clássicas das Relações Internacionais	Não há
ESHR023-21	Teorias Contemporâneas das Relações Internacionais	Não há
NHZ2111-18	Teorias da Verdade	Lógica básica
NHZ2130-18	Teorias das Vanguardas Artísticas	Não há
ESZE099-17	Termo Hidráulica de Reatores Nucleares	Engenharia Nuclear; Transferência de Calor I; Mecânica dos Fluidos I; Termodinâmica Aplicada II
ESTO014-17	Termodinâmica Aplicada I	Fenômenos Térmicos
ESTE021-17	Termodinâmica Aplicada II	Termodinâmica Aplicada I
ESTM018-17	Termodinâmica de Materiais	Funções de Uma Variável; Funções de Várias Variáveis
ESTM009-17	Termodinâmica Estatística de Materiais	Fenômenos Térmicos; Termodinâmica de Materiais
NHBQ016-22	Termodinâmica Química	Princípios de Termodinâmica; Transformações Químicas; Fenômenos Térmicos; Funções de uma variável.
ESZT015-17	Território e Logística	Não há
BHQ0301-15	Território e Sociedade	Não há
MCZC011-15	Tomada de Decisões e Neuroeconomia	Psicologia Cognitiva
BHS0003-17	Tópicos Avançados de Ciências e Humanidades	Introdução às Humanidades e às Ciências Sociais; Práticas em Ciências e Humanidades
ESZC022-17	Tópicos Avançados em Desenvolvimento Socioeconômico	Desenvolvimento Socioeconômico
ESZC026-17	Tópicos Avançados em Economia e Planejamento Territorial	Microeconomia I; Econometria I
ESZC023-17	Tópicos Avançados em Economia Institucional	Pensamento Econômico; Microeconomia I; Economia Institucional
ESZC039-21	Tópicos Avançados em Finanças	Funções de Uma Variável; Funções de Várias Variáveis; Inferência Estatítica; Econometria I; Contabilidade Básica; Engenharia Econômica
ESZC024-17	Tópicos Avançados em História Econômica	Formação do Sistema Internacional; Pensamento Econômico; História Econômica Geral
ESZC017-17	Tópicos Avançados em Macroeconomia	Introdução à Economia; Macroeconomia I; Macroeconomia II; Macroeconomia III; Macroeconomia Pós-Keynesiana
ESZC021-17	Tópicos Avançados em Microeconomia	Introdução à Economia; Bases Matemáticas; Funções de Uma Variável; Funções de Várias Variáveis; Microeconomia I; Microeconomia II; Microeconomia III
ESTM003-17	Tópicos Computacionais em Materiais	Cálculo Numérico; Materiais e suas Propriedades
NHZ2099-16	Tópicos Contemporâneos em Educação e Filosofia	Não há
MCZB040-17	Tópicos de Análise de Fourier	Análise Real II
NHZ2100-16	Tópicos de Filosofia e Práticas de Ensino	Não há
NHZ2123-18	Tópicos de História da Ciência Moderna	Não há
NHH2065-18	Tópicos de Metafísica	Não há
NHZ2147-18	Tópicos de Metafísica Medieval	Não há
ESZE079-17	Tópicos de Otimização em Sistemas Elétricos de Potência e Aplicações	Introdução aos Sistemas Elétricos de Potência
NHLF004-22	Tópicos de Pesquisa em Ensino de Filosofia	Não se aplica
MCBM031-23	Tópicos em Espaços de Sobolev	Análise no Rn I
NHZ3058-15	Tópicos em Física Experimental	A definir no momento do oferecimento
NHZ3057-15	Tópicos em Física Teórica	A definir no momento do oferecimento
NHZ2077-11	Tópicos em Teoria do Conhecimento	Teoria do Conhecimento: Empirismo e Racionalismo
MCBM032-23	Tópicos em Topologia Geral	Topologia
MCZA049-17	Tópicos Emergentes em Banco de Dados	Banco de Dados
ESZR035-21	Tópicos Especiais em Direito Internacional, Multilateralismo e Direitos Humanos	Não há
ESZC033-17	Tópicos Especiais em Economia Financeira	Bases Matemáticas; Introdução à Probabilidade e à Estatística; Contabilidade Básica; Introdução à Inferência Estatística; Engenharia Econômica; Funções de uma Variável; Funções de Várias Variáveis; Finanças Corporativas; Econometria I; Econometria II
ESZR036-21	Tópicos Especiais em Economia Política Internacional	Não há
ESZU018-17	Tópicos Especiais em Engenharia Ambiental e Urbana	Não há
ESZT025-21	Tópicos Especiais em Métodos e Técnicas para o Planejamento Territorial	Cartografia e Geoprocessamento para o Planejamento Territorial; Métodos de Planejamento
ESZT018-17	Tópicos Especiais em Planejamento Territorial	Não há
ESZP058-22	Tópicos Especiais em Políticas Públicas	Não há
ESZT026-21	Tópicos Especiais em Políticas Setoriais no Território	Não há
NHBQ017-22	Tópicos Especiais em Química Orgânica	É recomendado que o aluno tenha sido aprovado nas disciplinas: Transformações Químicas; Fundamentos em Reações Orgânicas; Mecanismos de Reações Orgânicas
ESZR037-21	Tópicos Especiais em Relações Internacionais	Não há
ESZR038-21	Tópicos Especiais sobre o Sul Global	Não há
ESTM002-17	Tópicos Experimentais em Materiais I	Materiais e suas Propriedades; Métodos Experimentais em Engenharia
ESZM012-17	Tópicos Experimentais em Materiais II	Tópicos Experimentais em Materiais I
MCBM012-23	Topologia	Análise Real I
NHZ1050-15	Toxicologia	Bioquímica: estrutura, propriedade e funções de biomoléculas
NHZ1082-15	Trabalhos de Campo, Coleta e Preservação de Organismos	Biodiversidade: Interações entre organismos e ambiente
ESZR014-13	Trajetória de desenvolvimento de países exportadores de petróleo	Economia política internacional da energia
ESHP021-13	Trajetórias das Políticas de CT&I no Brasil	Conflitos Sociais; Cidadania, Direitos e Desigualdades
ESTS018-17	Transferência de Calor Aplicada a Sistemas Aeroespaciais	Funções de Várias Variáveis; Termodinâmica Aplicada I
ESZE091-17	Transferência de Calor e Mecânica dos Fluidos Computacional I	Transferência de Calor II; Mecânica dos Fluidos II
ESZE092-17	Transferência de Calor e Mecânica dos Fluidos Computacional II	Transferência de Calor e Mecânica dos Fluidos Computacional I
ESTE022-17	Transferência de Calor I	Fenômenos Térmicos; Funções de Várias Variáveis
ESTE023-17	Transferência de Calor II	Transferência de Calor I
ESZE083-17	Transferência de Calor Industrial	Transferência de Calor II
ESTU020-17	Transferência de Massa	Fenômenos de Transporte ou Termodinâmica I
BCL0307-15	Transformações Químicas	Estrutura da Matéria
ESTI003-17	Transformadas em Sinais e Sistemas Lineares	Funções de Várias Variáveis
ESZE065-17	Transporte de Petróleo e Gás Natural	Materiais e suas Propriedades; Mecânica dos Fluidos II
ESZU019-17	Transportes e Meio Ambiente	Cartografia e Geoprocessamento; Métodos Quantitativos para Planejamento Estratégico; Métodos de Tomada de Decisão Aplicados ao Planejamento Urbano-Ambiental
ESTU021-17	Transportes e Mobilidade Urbana	Não há
ESZU020-17	Transportes, Uso e Ocupação do Solo	Cartografia e Geoprocessamento; Métodos Quantitativos para Planejamento Estratégico; Métodos de Tomada de Decisão Aplicados ao Planejamento Urbano-Ambiental
ESZU032-17	Tratamento Avançado de Águas Residuárias	Tratamento de Águas Urbanas Servidas; Sistemas de Tratamento de Água
ESTU038-17	Tratamento de Águas Urbanas Servidas	Hidráulica de Condutos Livres; Hidráulica de Condutos Forçados; Caracterização de Matrizes Ambientais; Microbiologia Ambiental
ESZE087-17	Turbinas Hidráulicas	Mecânica dos Fluidos II
ESZI028-17	TV Digital	Comunicação Digital
ESZB034-17	Ultrassom Aplicado à Medicina	Circuitos Elétricos I; Física Médica I; Instrumentação Biomédica I; Métodos Matemáticos aplicados a Sistemas Biomédicos
ESZU021-17	Unidades de Conservação da Natureza	Biomas Brasileiros; Conservação da Biodiversidade
ESZT016-17	Urbanização Brasileira	Não há
ESHT024-17	Uso do Solo Urbano	Não há
NHT3066-15	Variáveis Complexas e Aplicações	Funções de Várias Variáveis
ESZE026-17	Ventilação Industrial e Ar Comprimido	Mecânica dos Fluidos II
ESZE088-17	Ventiladores Industriais	Mecânica dos Fluidos II
ESTS008-17	Vibrações	Álgebra Linear; Dinâmica I
MCZA030-17	Vida Artificial na Computação	Não há
NHZ1051-13	Virologia	Biologia Celular; Microbiologia
ESZA019-17	Visão Computacional	Fundamentos de Robótica
MCZA052-22	Vizualização de Dados e Informações	Algoritmos e Estruturas de Dados I; Banco de Dados; Programação Orientada a Objetos
MCZA031-13	Web Semântica	Inteligência Artificial
NHBB002-23	Zoologia de Ecdysozoa	Sistemática e Biogeografia; Zoologia de Invertebrados I
NHT1065-15	Zoologia de Vertebrados	Sistemática e Biogeografia; Zoologia de Ecdysozoa
NHBB001-23	Zoologia: Origem e Diversificação de Metazoa	Sistemática e Biogeografia
